idx,split,source_id,temperature,pressure,actual,predicted,residual
14119,test,72,295.0,73.16682003142884,73.16672003142884,57.081801147113005,16.084918884315833
8328,test,42,295.0,77.63841765158062,68.81309100394122,53.658334341318756,15.154756662622468
8323,test,42,295.0,68.81319100394123,68.81309100394122,50.86415524053954,17.948935763401686
4237,test,21,295.0,70.33214453747752,68.3567305515318,50.13984324505765,18.21688730647415
9879,test,50,300.0,80.8410872588047,78.58062096349295,57.72492331009452,20.85569765339843
19352,test,99,295.0,67.71868499871039,66.46919271207298,52.1015529877021,14.367639724370882
9877,test,50,300.0,79.71090411114882,78.58062096349295,57.367092938203506,21.213528025289442
4135,test,21,240.0,85.89480604072213,14.24193006517389,30.928239478720435,-16.686309413546546
15687,test,80,295.0,72.45115847245675,69.39768820199494,52.92903717468659,16.468651027308347
4239,test,21,295.0,74.28277250936895,68.3567305515318,51.3906623518925,16.966068199639295
11026,test,56,295.0,75.04816611978127,72.80508396669912,55.01555417271694,17.789529793982176
1945,test,10,210.0,96.61815596579984,4.421703591294218,22.62463058744553,-18.202926996151312
4066,test,21,205.0,97.9614762623267,3.4765577219221213,19.387556918329018,-15.910999196406896
15384,test,79,240.0,77.88408148835478,14.39267504443449,28.57726457958894,-14.184589535154451
2095,test,10,290.0,60.996026747814206,60.9959267478142,46.457397206099024,14.538529541715178
15685,test,80,295.0,69.39778820199494,69.39768820199494,51.96230127788848,17.43538692410646
14321,test,73,295.0,74.32006093326773,73.22517547872039,57.16003328030266,16.065142198417725
8713,test,44,295.0,70.67810762668068,67.89804544702722,53.01136368260294,14.886681764424274
4125,test,21,235.0,90.01385198986142,11.963037936696075,30.037932724085245,-18.07489478738917
4226,test,21,290.0,60.08044820513094,60.08034820513094,44.69957654591741,15.38077165921353
7548,test,38,295.0,69.26330007843309,67.89761970766752,52.455101918840406,15.44251778882711
15321,test,79,205.0,113.01790132019094,3.5026944656710426,24.339935227637866,-20.837240761966825
16471,test,84,295.0,71.98882269472267,70.38744055582808,55.51494617359719,14.87249438223089
7547,test,38,295.0,67.89771970766752,67.89761970766752,52.022741789962005,15.874877917705511
15515,test,80,205.0,91.88522545619428,3.502563886701579,19.58202570628145,-16.07946181957987
11226,test,57,295.0,74.5360825266888,72.07212707241956,57.73169592937524,14.34043114304432
8143,test,42,200.0,109.71777609281102,2.724794655337337,22.12053398413993,-19.39573932880259
16473,test,84,295.0,73.0563441206524,70.38744055582808,55.852937046527764,14.534503509300315
9725,test,50,220.0,80.73904492116846,6.673618911012023,22.58142921194412,-15.907810300932095
8714,test,44,295.0,72.06808871650742,67.89804544702722,53.45144938996041,14.446596057066806
9868,test,50,295.0,71.45090795026033,66.83876913694161,52.557423867820226,14.281345269121381
15366,test,79,230.0,93.0647317259738,10.06851284589774,28.994753418388342,-18.926240572490602
4105,test,21,225.0,91.25073615894864,8.240269386899683,26.040647723147863,-17.80037833624818
19171,test,99,200.0,89.30692177971846,2.6801950720210863,17.24212996239968,-14.561934890378595
9878,test,50,300.0,80.27599568497676,78.58062096349295,57.546008123753836,21.03461283973911
8313,test,42,290.0,60.43727871038952,60.43717871038952,46.01778564683557,14.419393063553947
9705,test,50,210.0,96.54161462420372,4.341497964452761,23.195825670642627,-18.854327706189867
4227,test,21,290.0,62.74092783902415,60.08034820513094,45.54191826539896,14.538429939731977
15340,test,79,215.0,110.06194241609832,5.517049797814488,27.792939284090544,-22.275889486276057
