N,metric,mean,std,min,max
25,mean_Pbubble,84.39658153659494,2.9527358561860098,78.99119826887387,90.59131551137189
25,std_CO2,0.0133232321511492,0.0012238380037039296,0.010360180178613378,0.014892290951979402
25,median_Pbubble,54.913760399383364,4.182844354924765,47.25300152598694,63.46076576766871
25,T_unique,8.8,1.2396943596157715,6.0,11.0
50,mean_Pbubble,87.1494442099809,2.3201306421145853,83.40687282664638,91.92900967773875
50,std_CO2,0.012300569443547318,0.0007752385429490524,0.010885117516995602,0.013945949863661855
50,median_Pbubble,61.96358123600832,2.576543349377495,57.57117044407167,69.46159544911333
50,T_unique,14.0,1.1697953037312037,11.0,16.0
75,mean_Pbubble,87.37027275540763,1.5068470286437063,84.72386208206198,91.69646151966857
75,std_CO2,0.011927665982306528,0.0005082674832257019,0.010933777505803316,0.013224348157418206
75,median_Pbubble,64.4489487402466,2.2805077016766946,60.40851072677225,70.5119186240305
75,T_unique,16.4,0.8207826816681232,15.0,17.0
100,mean_Pbubble,86.87218370512205,1.8568492299487083,83.2446136494989,91.84807512396708
100,std_CO2,0.011551730650722649,0.0005163212176519706,0.010773490523583097,0.012506432224757245
100,median_Pbubble,64.64858154097058,2.0355155952046275,60.5041906633398,71.06639583786506
100,T_unique,16.9,0.4472135954999579,15.0,17.0
